,M + S + T,M + S,S + T,S
LogisticRegression,0.5851938895417156,0.5737787476917912,0.5512842034581165,0.5370152761457109
RandomForestClassifier,0.6530132617089138,0.644955514520732,0.5440658049353702,0.54524089306698
GBTClassifier,0.6781937216719826,0.6800402887359409,0.5851938895417156,0.5544737283867719
DecisionTreeClassifier,0.6050025180459963,0.6056739969783448,0.5596776901124727,0.5348329696155784
