,M+S+T,M+S,S+T,S
LogisticRegression,0.5543897935202283,0.5464999160651335,0.534329360416317,0.5250125902299815
RandomForestClassifier,0.5989592076548599,0.6054221923787141,0.5397011918751049,0.5257680040288736
GBTClassifier,0.6308544569414135,0.6446197750545577,0.5444015444015444,0.537183145878798
DecisionTreeClassifier,0.5668960886352191,0.5676515024341111,0.5261037434950478,0.5273627664932012
