,M + S + T,M + S,S + T,S
LogisticRegression,0.6479299899023898,0.6321104005385392,0.6098956580276002,0.5540222147425109
RandomForestClassifier,0.6627398182430159,0.6671154493436553,0.5954224166947156,0.5631100639515315
GBTClassifier,0.6913497139010434,0.7001009761023225,0.6152810501514642,0.5880175025244025
DecisionTreeClassifier,0.6075395489734097,0.6085493099966341,0.578929653315382,0.570178391114103
