date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,DGS10,T10YIE,DFF,DTB3,EFFR,GC=F,CL=F
2009-01-02,AMGN,58.59000015258789,59.08000183105469,57.75,43.42292404174805,6547900.0,4.0,0.2358826564775924,43.53950147128448,41.471971230741886,52.75684805377384,92.90777038095143,0.8142169465282173,41.78116213480632,41.344159825642905,2.46,0.17,0.14,0.08,0.08,878.7999877929688,46.34000015258789
2009-01-05,AMGN,59.220001220703125,59.650001525878906,58.0,43.90876007080078,10940100.0,0.0,0.3319762495726692,43.72105511898004,41.53407030826606,53.64157158098831,113.27560916011775,5.0449820198844,41.92862892150879,41.43654130299886,2.49,0.15,0.08,0.14,0.11,857.2000122070312,48.810001373291016
2009-01-06,AMGN,60.040000915527344,60.150001525878906,57.75,42.944454193115234,8974000.0,1.0,0.326555362381292,43.749456693714826,41.57486161988381,51.65532940632514,100.6998047989714,9.95234250408697,42.1300771077474,41.53567008972168,2.51,0.42,0.08,0.14,0.09,865.4000244140625,48.58000183105469
2009-01-07,AMGN,57.83000183105469,58.75,57.7400016784668,42.841400146484375,5725400.0,2.0,0.3103659643004093,43.75127745486212,41.575249186983584,51.444735820171445,65.25968000302194,9.831010377203144,42.211048634847,41.65369256337484,2.52,0.47,0.08,0.11,0.11,841.0999755859375,42.630001068115234
2009-01-08,AMGN,58.060001373291016,59.27999877929688,58.02000045776367,43.62166976928711,5576700.0,3.0,0.3563887593443482,43.88051718910169,41.54170342247058,52.94724779621888,101.85112101906736,15.137399873660872,42.291284052530926,41.72067832946777,2.47,0.5,0.11,0.09,0.1,853.9000244140625,41.70000076293945
2009-01-09,AMGN,59.09999847412109,59.790000915527344,57.619998931884766,42.5322380065918,6150700.0,4.0,0.3014788570818254,43.87324314750879,41.52910212837011,50.68200879015586,72.30508088156078,19.981290057096665,42.36121431986491,41.7963747660319,2.43,0.56,0.09,0.07,0.09,854.2999877929688,40.83000183105469
2009-01-12,AMGN,57.58000183105469,57.720001220703125,56.34000015258789,42.00224304199219,7698300.0,0.0,0.2127438213804495,43.88185935162277,41.50650086261063,49.61377122076082,-42.49662073806221,4.0477618555738015,42.38967742919922,41.910471280415855,2.34,0.59,0.11,0.12,0.1,820.2999877929688,37.59000015258789
2009-01-13,AMGN,57.15999984741211,58.02999877929688,57.04999923706055,42.48070907592773,7466600.0,1.0,0.1789658693109217,43.86920084744282,41.48824200839214,50.58643521583469,-3.636816815652648,7.236990599417585,42.442922337849936,41.995246187845865,2.33,0.59,0.1,0.11,0.1,820.0999755859375,37.77999877929688
2009-01-14,AMGN,56.75,57.2599983215332,55.75,41.28085708618164,6634600.0,2.0,0.0547474762777042,43.96230845535612,41.27514920150424,48.173958449840654,-121.56537708433758,6.669085491328677,42.47506599426269,42.06750736236573,2.24,0.45,0.09,0.12,0.15,808.2000122070312,37.27999877929688
2009-01-15,AMGN,55.7599983215332,57.290000915527344,55.220001220703125,42.07583999633789,8330400.0,3.0,0.0202189106431163,43.79734911309431,41.276691490543385,49.81440291413762,-128.2932093540229,11.661443806267132,42.53689816792806,42.1142499923706,2.23,0.45,0.09,0.11,0.18,806.7000122070312,35.400001525878906
