date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,EFFR,DTB3,T10YIE,DGS10,GC=F,CL=F
2008-01-16,NTAP,22.399999618530277,22.959999084472656,22.190000534057617,17.340177536010742,8338700.0,2.0,-0.1232150771870941,19.711397549096493,16.667466392442922,29.248188943831792,-83.55259184510066,58.86392362633824,18.189431970769707,18.189431970769707,4.22,3.06,2.24,3.74,880.5999755859375,90.83999633789062
2008-01-17,NTAP,22.059999465942383,22.82999992370605,21.729999542236328,17.137086868286133,8165200.0,3.0,-0.1522459811165077,19.67493160571302,16.528541485412468,27.7382529858036,-98.8769987052642,64.89076413688143,18.101736545562744,18.101736545562744,4.23,3.0,2.23,3.66,879.5,90.12999725341795
2008-01-18,NTAP,21.700000762939453,22.5,21.700000762939453,17.223012924194336,7052200.0,4.0,-0.1669026747292292,19.617267080727988,16.45101776095621,29.334949541584507,-99.27716660455256,65.24572751248921,18.034142420842095,18.034142420842095,4.17,2.79,2.24,3.66,880.7999877929688,90.56999969482422
2008-01-22,NTAP,20.790000915527344,21.57999992370605,20.61000061035156,16.512216567993164,8411700.0,1.0,-0.2169007229685107,19.65033363771897,16.20053322498681,24.670183351675647,-162.27559966055833,75.04520382094516,17.92543343135289,17.92543343135289,3.68,2.3,2.24,3.52,889.5999755859375,89.8499984741211
2008-01-23,NTAP,20.299999237060547,21.13999938964844,19.57999992370605,15.91859245300293,14706900.0,2.0,-0.2870659285733126,19.75040304306909,15.832885022523358,21.69029741039563,-190.090321416197,80.57719289730582,17.791644032796224,17.791644032796224,3.43,2.16,2.2,3.51,882.5,86.98999786376953
2008-01-24,NTAP,20.270000457763672,22.670000076293945,20.270000457763672,17.340177536010742,9940100.0,3.0,-0.2504800811757306,19.669184418554945,15.857670334939318,39.72628103150495,-84.88767000495919,33.56281786837113,17.76342737674713,17.76342737674713,3.47,2.32,2.24,3.68,905.5,89.41000366210938
2008-01-25,NTAP,22.86000061035156,23.25,22.040000915527344,17.363603591918945,7150500.0,4.0,-0.2180201240253367,19.595313792929957,15.88450286823158,39.96200298261044,-20.86705293289865,20.816253575878008,17.739908330580768,17.739908330580768,3.6,2.25,2.27,3.61,910.5,90.70999908447266
2008-01-28,NTAP,22.350000381469727,23.06999969482422,22.06999969482422,17.832260131835938,6902200.0,0.0,-0.160935851624778,19.545573073556238,15.944504898855875,44.45748574450216,-11.85987273149996,20.816253575878,17.745038986206055,17.745038986206055,3.5,2.29,2.28,3.61,927.0999755859376,90.98999786376952
2008-01-29,NTAP,23.059999465942383,23.229999542236328,22.549999237060547,17.988473892211914,5370000.0,1.0,-0.1050876228762121,19.511217276229537,16.00448542313056,45.8554395983099,11.290696874842668,17.287839246181605,17.75785134968005,17.75785134968005,3.47,2.23,2.32,3.69,925.0999755859376,91.63999938964844
2008-01-30,NTAP,23.0,23.88999938964844,22.790000915527344,18.136890411376957,5359600.0,2.0,-0.0511002012096746,19.491802238195515,16.061804367334272,47.162500339236765,41.99107841856336,3.9069009674523856,17.776803302764893,17.776803302764893,3.26,2.16,2.33,3.78,920.5999755859376,92.33000183105467
