date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,EFFR,DTB3,T10YIE,DGS10,GC=F,CL=F
2008-01-02,EBAY,14.078283309936523,14.103534698486328,13.535353660583496,12.81811809539795,27943661.0,2.0,0.0,13.074436356107574,11.47455007882895,0.0,-66.66666666666667,100.0,12.81811809539795,12.81811809539795,4.11,3.18,2.32,3.91,857.0,99.62000274658205
2008-01-03,EBAY,13.73316478729248,14.019359588623049,13.67845058441162,12.956204414367676,20519136.0,3.0,0.0030980904897042,13.082444799947975,12.691877709817648,100.0,66.66666666666848,100.0,12.887161254882812,12.887161254882812,4.25,3.16,2.33,3.91,866.4000244140625,99.18000030517578
2008-01-04,EBAY,13.73316478729248,14.111952781677246,13.106060981750488,12.3486328125,29543897.0,4.0,-0.0148931768047368,13.344638175691395,12.070665372485688,18.01262171206271,-100.0000000000004,100.0,12.70765177408854,12.70765177408854,4.18,3.12,2.32,3.88,863.0999755859375,97.91000366210938
2008-01-07,EBAY,13.223905563354492,13.265993118286133,12.693602561950684,12.009343147277832,44513172.0,0.0,-0.0349608880471397,13.403784704324236,11.662364530447492,12.22326193791767,-126.24757409480009,100.0,12.533074617385864,12.533074617385864,4.27,3.19,2.29,3.86,859.5999755859375,95.08999633789062
2008-01-08,EBAY,12.840909004211426,13.09343433380127,12.626262664794922,11.83969783782959,33702134.0,1.0,-0.0518799447635327,13.370728677381164,11.418069845568054,10.480871465480078,-94.88644559227122,100.0,12.394399261474607,12.394399261474607,4.27,3.17,2.29,3.86,878.0,96.33000183105467
2008-01-09,EBAY,12.672558784484863,12.744108200073242,12.209595680236816,11.784463882446287,42864228.0,2.0,-0.0634372581326356,13.298024128613472,11.287462601326304,10.000721135326389,-99.1948257321514,100.0,12.292743364969889,12.292743364969889,4.26,3.14,2.26,3.82,879.5,95.66999816894533
2008-01-10,EBAY,12.42845058441162,12.967171669006348,12.314814567565918,11.97778034210205,45606845.0,3.0,-0.0609988297113925,13.1958227657261,11.299674529108582,22.80499568460989,-64.1619243545808,69.18615631966179,12.24774864741734,12.24774864741734,4.26,3.16,2.23,3.91,891.7000122070312,93.70999908447266
2008-01-11,EBAY,12.630471229553224,12.794612884521484,12.32323169708252,11.709502220153809,29344075.0,4.0,-0.0711422645972987,13.137177193846377,11.223758494172422,18.93714179173016,-74.67153818916759,69.18615631966179,12.1804678440094,12.1804678440094,4.23,3.02,2.26,3.82,896.0999755859375,92.69000244140624
2008-01-14,EBAY,12.63888931274414,12.702019691467283,12.205387115478516,11.531968116760254,41139727.0,0.0,-0.0858920557146429,13.102290146484178,11.114534491034812,16.967132364680822,-83.5900992754327,71.80824044375173,12.108412318759497,12.108412318759497,4.24,3.11,2.28,3.81,901.5999755859376,94.1999969482422
2008-01-15,EBAY,12.201177597045898,12.201177597045898,11.721380233764648,11.026975631713867,52006838.0,1.0,-0.121117361533459,13.160372294881522,10.84016500522834,12.990565345580237,-132.46656355819584,79.47599845401274,12.000268650054933,12.000268650054933,4.24,3.09,2.27,3.72,901.0,91.9000015258789
2008-01-16,EBAY,11.658248901367188,12.163299560546877,11.645623207092283,11.082207679748535,52113283.0,2.0,-0.1419306360670571,13.148775370781468,10.684841752909051,15.238219151291162,-117.77765186791645,80.36933737419167,11.91680856184526,11.91680856184526,4.22,3.06,2.24,3.74,880.5999755859375,90.83999633789062
2008-01-17,EBAY,12.108586311340332,12.188551902770996,11.792928695678713,11.09404468536377,51693682.0,3.0,-0.1546087297402323,13.115293622701287,10.581196188242316,15.720896527508046,-97.67579379951698,77.6146304888601,11.848244905471802,11.848244905471802,4.23,3.0,2.23,3.66,879.5,90.12999725341795
2008-01-18,EBAY,11.835017204284668,12.058080673217772,11.548822402954102,11.17689609527588,59257202.0,4.0,-0.1572800746439178,13.065581744437502,10.527623634168268,19.058313175534607,-98.69221349805872,80.66588228364674,11.796602689302883,11.796602689302883,4.17,2.79,2.24,3.66,880.7999877929688,90.56999969482422
2008-01-22,EBAY,10.980640411376951,11.82239055633545,10.951177597045898,10.742918014526367,50254776.0,1.0,-0.1823885798742814,13.064340872893604,10.378338123601234,15.691326942836696,-131.51160151506485,85.74949023791781,11.72133949824742,11.72133949824742,3.68,2.3,2.24,3.52,889.5999755859375,89.8499984741211
2008-01-23,EBAY,11.031145095825195,12.579965591430664,10.993266105651855,11.417553901672363,84443278.0,2.0,-0.1589630763594254,13.004708954554689,10.39746529573014,34.34450590866207,-69.59759378081206,36.95491714206231,11.701087125142417,11.701087125142417,3.43,2.16,2.2,3.51,882.5,86.98999786376953
2008-01-24,EBAY,11.182660102844238,11.553030014038086,10.837541580200195,10.723190307617188,126752710.0,3.0,-0.1813028787103334,12.990970089816168,10.28896705827801,27.796470528889884,-125.20174472484508,40.39539497465691,11.639968574047089,11.639968574047089,3.47,2.32,2.24,3.68,905.5,89.41000366210938
2008-01-25,EBAY,11.515151977539062,11.616162300109863,11.064814567565918,10.58510684967041,66868481.0,4.0,-0.2046353710695587,12.982535044727134,10.173300724028609,26.74738001246473,-107.67259312824996,37.15179538461023,11.577917884377872,11.577917884377872,3.6,2.25,2.27,3.61,910.5,90.70999908447266
2008-01-28,EBAY,11.119528770446776,11.456229209899902,11.022727012634276,10.600889205932615,39749530.0,0.0,-0.2189970645500043,12.962048583735656,10.085228442970616,27.07281646187053,-103.71438560507124,38.16977960196255,11.523638513353136,11.523638513353136,3.5,2.29,2.28,3.61,927.0999755859376,90.98999786376952
2008-01-29,EBAY,11.237374305725098,11.29208755493164,10.917508125305176,10.304997444152832,57136860.0,1.0,-0.2463515592882803,12.965065009708468,9.95393400971356,24.92515790502333,-111.8301962951117,40.73514424852991,11.459499509711014,11.459499509711014,3.47,2.23,2.32,3.69,925.0999755859376,91.63999938964844
2008-01-30,EBAY,10.803872108459473,11.35942840576172,10.79124641418457,10.376007080078123,57206239.0,2.0,-0.2598334560651416,12.948768180921316,9.861881595537424,26.375144287063435,-103.26372606686024,43.72994093247981,11.40532488822937,11.40532488822937,3.26,2.16,2.33,3.78,920.5999755859376,92.33000183105467
2008-01-31,EBAY,10.942761421203612,11.473064422607422,10.900672912597656,10.608777046203612,53046101.0,3.0,-0.2517358282607294,12.72461498218308,9.865100689356224,30.90074051222878,-84.11435130052853,37.06634035728873,11.367394038609095,11.367394038609095,3.22,1.92,2.34,3.67,922.7000122070312,91.75
2008-02-01,EBAY,11.637205123901367,12.205387115478516,11.380471229553224,11.366267204284668,61392751.0,4.0,-0.1916574108621631,12.414361255434322,10.016360695096685,42.74794160822255,-22.27430843452699,3.8866900349158273,11.367342818867076,11.367342818867076,3.12,2.06,2.31,3.62,908.7000122070312,88.95999908447266
2008-02-04,EBAY,12.066497802734377,12.281145095825195,12.032828330993652,11.366267204284668,45935683.0,0.0,-0.1427916288904516,12.244137667254378,10.088347722455094,42.74794160822255,1.2497276891916873,1.1782590002762257,11.367296053015668,11.367296053015668,2.82,2.22,2.3,3.68,904.9000244140624,90.0199966430664
