	M + S + T	M + S	S + T	S
LogisticRegression	0.5851938895417156	0.5739466174248783	0.5512842034581165	0.5366795366795367
RandomForestClassifier	0.6379049857310727	0.6414302501259023	0.5556488165183817	0.5467517206647642
GBTClassifier	0.6766828940741985	0.6800402887359409	0.5731072687594426	0.5467517206647642
DecisionTreeClassifier	0.6043310391136478	0.6048346483129092	0.5653852610374349	0.5324827933523586
