	M + S + T	M + S	S + T	S
LogisticRegression	0.5542219237871412	0.5464999160651335	0.534329360416317	0.525096525096525
RandomForestClassifier	0.6104582843713279	0.6077723686419338	0.5402048010743663	0.5277824408259191
GBTClassifier	0.6583850931677019	0.6623300318952493	0.5446533490011751	0.5332382071512506
DecisionTreeClassifier	0.5644619775054558	0.5691623300318952	0.5297968776229646	0.5253483296961557
