	M + S + T	M + S	S + T	S
LogisticRegression	0.6479299899023898	0.6321104005385392	0.6098956580276002	0.5526758667115449
RandomForestClassifier	0.6681252103668799	0.6576910131268933	0.5880175025244025	0.566812521036688
GBTClassifier	0.689666778862336	0.7041400201952205	0.6220127903062942	0.5910467855940761
DecisionTreeClassifier	0.6082127229888926	0.6092224840121171	0.593066307640525	0.573544261191518
