,M + S + T,M + S,S + T,S
LogisticRegression,0.1638789836859052,0.13929424123157608,0.09079133736966206,0.0554567406364472
RandomForestClassifier,0.312690238291422,0.3037392372730084,0.07564880933159258,0.08098546858322814
GBTClassifier,0.35531672207071546,0.35916441506954666,0.16474347210496013,0.097350625928373
DecisionTreeClassifier,0.20975546926811867,0.2110925053488111,0.11439247224578025,0.052317757868072766
