,M+S+T,M+S,S+T,S
LogisticRegression,0.10058438790206349,0.08299157902388715,0.0550880466088142,0.02699790651593212
RandomForestClassifier,0.20834319006630392,0.2255495423498898,0.0712906961447673,0.029700965504625365
GBTClassifier,0.26652524033851677,0.29855587748995494,0.07836456306818321,0.061471145674736515
DecisionTreeClassifier,0.13965120483574542,0.14371073674487328,0.033979751920476,0.0350970447687237
