,M+S+T,M+S,S+T,S
LogisticRegression,0.2832619809977814,0.2495167971865459,0.20180331469599214,0.05783601968811881
RandomForestClassifier,0.28256300870296985,0.3210902386388321,0.17806277241949287,0.10297077763513189
GBTClassifier,0.39982973788770776,0.397232891677769,0.21026452371161763,0.1489412999511546
DecisionTreeClassifier,0.2528772329284687,0.2554796420085784,0.1480380733678743,0.09583706482618268
